# s=45 S=55
# time_s	level
214503.374	29
214503.374	28
214561.355	27
214698.905	26
214889.719	25
214889.719	24
214932.155	23
215031.994	22
215197.728	21
215262.076	20
215355.992	19
215480.006	18
215480.006	17
216002.989	16
216010.109	15
216103.748	14
216103.748	13
216103.748	12
216140.237	11
216308.889	10
216342.130	9
216441.524	8
216958.436	7
216984.242	6
216986.232	5
216986.232	4
217141.145	24
217235.990	42
217470.288	41
217693.052	40
217734.785	39
217805.998	38
217883.745	37
218107.987	36
218107.987	35
218107.987	34
218204.977	33
218255.892	32
218539.676	31
218851.652	30
219235.699	29
219261.792	28
219327.867	27
219620.251	26
219718.214	25
219718.214	24
219777.047	23
219973.622	22
220097.332	21
